OverallQual,GrLivArea,GarageCars,YearBuilt,TotalBsmtSF,1stFlrSF,2ndFlrSF,ExterQual,Fireplaces,Neighborhood
3,1040,2,1950,0,1040,0,TA,0,NAmes
6,1876,2,1974,901,943,933,Gd,1,NWAmes
6,1586,2,1979,1362,1586,0,TA,1,NWAmes
4,1317,1,1920,649,649,668,TA,0,IDOTRR
7,2167,2,1974,1192,1516,651,Gd,2,Veenker
8,3447,3,1935,728,1968,1479,TA,2,Crawfor
8,2020,2,1995,1128,1142,878,Gd,1,SawyerW
4,816,1,1938,816,816,0,TA,1,Edwards
5,1056,1,1954,1056,1056,0,TA,0,NAmes
6,1928,1,1910,1020,908,1020,TA,0,OldTown
6,1442,2,1970,1442,1442,0,TA,1,NWAmes
5,1869,2,1890,1088,1188,561,TA,0,OldTown
6,1414,2,1958,1184,1414,0,Ex,1,NAmes
4,894,2,1954,894,894,0,TA,0,Edwards
6,1294,2,1991,1278,1294,0,TA,0,SawyerW
5,894,1,1976,894,894,0,TA,0,CollgCr
6,1839,2,1957,1477,1839,0,TA,2,Crawfor
5,1652,1,1915,686,966,686,TA,0,OldTown
4,1180,1,1922,700,1180,0,TA,1,Crawfor
6,1573,2,2000,756,769,804,Gd,0,Somerst
5,1344,1,1920,672,672,672,TA,0,IDOTRR
7,1344,4,1997,1344,1344,0,TA,0,Mitchel
5,985,1,1977,985,985,0,Gd,0,CollgCr
5,1687,2,1948,747,1687,0,TA,2,Timber
6,1212,2,1977,506,1212,0,TA,1,Sawyer
7,1416,2,1999,696,696,720,Gd,0,Somerst
7,2207,2,1970,1947,2207,0,TA,1,NAmes
5,936,2,1980,936,936,0,TA,0,OldTown
8,1580,3,2007,1580,1580,0,Gd,0,Somerst
7,1456,2,2005,728,728,728,Gd,1,CollgCr
7,1212,2,2001,1212,1212,0,Gd,0,CollgCr
4,1328,1,1925,686,810,518,TA,0,OldTown
5,816,1,1982,816,816,0,Gd,1,Mitchel
5,1960,2,1952,960,960,1000,TA,0,OldTown
6,2134,2,1916,844,1445,689,TA,0,BrkSide
6,1456,2,1978,855,855,601,TA,1,NPkVill
5,936,1,1956,936,936,0,TA,0,NAmes
5,970,2,1963,970,970,0,TA,0,Sawyer
5,860,2,1982,840,860,0,TA,0,Sawyer
6,1502,1,1923,602,900,602,TA,2,Crawfor
7,2243,3,1990,700,1122,1121,Gd,1,SawyerW
5,1466,2,1936,796,1096,370,TA,1,OldTown
7,1690,1,1916,815,815,875,TA,1,OldTown
7,1726,3,2007,1726,1726,0,Ex,1,Somerst
7,1552,3,2005,1552,1552,0,Gd,0,CollgCr
6,1382,2,1962,1362,1382,0,TA,1,NAmes
5,899,1,1967,864,899,0,TA,0,Sawyer
5,1099,1,1995,1099,1099,0,TA,0,CollgCr
7,1826,1,1915,910,916,910,Gd,1,OldTown
6,918,1,1979,918,918,0,TA,1,SawyerW
4,1178,1,1900,859,859,319,TA,0,IDOTRR
8,2098,3,2005,1030,1038,1060,Gd,1,NridgHt
6,1721,2,1994,928,936,785,Gd,0,SawyerW
6,1375,1,1937,780,780,595,TA,1,IDOTRR
5,1520,1,1932,793,848,672,TA,0,SWISU
10,3608,3,1892,1107,1518,1518,Gd,2,OldTown
6,987,1,1972,483,483,504,TA,0,BrDale
8,1370,2,2006,1370,1370,0,Gd,1,NridgHt
5,1022,1,1910,1022,1022,0,TA,0,OldTown
6,1262,2,2006,1262,1262,0,Gd,0,Somerst
6,1352,1,1969,663,663,689,TA,0,Sawyer
7,1725,2,1979,539,1040,685,TA,1,NWAmes
6,1062,2,1976,1029,1062,0,TA,2,Mitchel
5,1376,1,1941,768,968,408,TA,1,NAmes
5,1712,2,1959,1626,1712,0,TA,0,NAmes
7,1720,2,2004,860,860,860,Gd,0,CollgCr
5,1040,1,1959,1040,1040,0,TA,0,NAmes
4,864,2,1971,864,864,0,TA,0,NAmes
5,900,1,1967,882,900,0,TA,0,Sawyer
7,2520,3,1995,1203,1214,1306,Gd,1,NoRidge
10,2020,3,2009,2006,2020,0,Ex,1,NridgHt
7,1314,2,2007,1314,1314,0,Gd,1,NridgHt
6,1520,1,1955,1156,1520,0,TA,2,NAmes
7,1221,2,2004,1221,1221,0,Gd,0,Somerst
7,1839,2,1998,1195,1195,644,Gd,0,NoRidge
7,1496,2,2006,654,664,832,Gd,1,Gilbert
7,1547,2,2009,756,764,783,TA,0,Somerst
5,1576,2,1923,1324,1072,504,TA,1,BrkSide
5,2414,2,1900,954,1766,648,TA,1,OldTown
5,691,1,1920,691,691,0,TA,0,OldTown
7,1664,2,1976,832,832,832,TA,1,NWAmes
5,1065,2,1960,1065,1065,0,TA,0,NAmes
6,1026,2,1969,1026,1026,0,TA,0,NAmes
8,1419,2,2007,1419,1419,0,Gd,1,StoneBr
4,990,0,1994,990,990,0,TA,0,CollgCr
6,1328,2,1963,1328,1328,0,TA,2,NWAmes
5,1484,2,1971,1484,1484,0,TA,1,NWAmes
5,1097,2,1994,1097,1097,0,TA,0,CollgCr
7,1850,2,1994,973,979,871,Gd,1,NoRidge
3,1214,3,1915,672,694,520,TA,0,OldTown
6,1072,2,2005,547,1072,0,TA,0,Edwards
7,1948,2,2004,847,847,1101,Gd,1,CollgCr
8,1554,2,2006,1554,1554,0,Gd,1,NridgHt
9,1684,2,2005,1684,1684,0,Ex,1,NridgHt
5,990,2,1994,990,990,0,TA,0,CollgCr
5,1214,2,1965,1214,1214,0,TA,0,Edwards
8,1656,3,2006,1656,1656,0,Gd,0,Somerst
3,1040,2,1950,0,1040,0,TA,0,NAmes
5,1044,2,1952,540,1044,0,Fa,0,IDOTRR
8,1989,2,2002,1065,1091,898,Gd,1,CollgCr
5,1028,2,1927,1008,1028,0,TA,1,OldTown
5,1056,1,1958,1056,1056,0,TA,0,NAmes
5,1130,2,1920,1120,1130,0,TA,1,OldTown
5,1152,2,1964,1152,1152,0,TA,1,NAmes
6,1556,2,1980,716,716,840,TA,1,Blueste
4,693,0,1941,693,693,0,TA,0,OldTown
4,630,1,1970,630,630,0,TA,0,MeadowV
6,1482,1,1925,672,810,672,TA,0,SWISU
5,1416,3,1915,876,876,540,TA,1,OldTown
5,1073,2,1965,1073,1073,0,TA,0,NAmes
5,1473,1,1968,1437,1473,0,TA,2,ClearCr
6,1224,2,2009,612,612,612,Gd,0,Somerst
8,1987,2,1994,1986,1987,0,Gd,1,NoRidge
4,882,0,1956,882,882,0,TA,0,OldTown
6,2201,2,1966,697,1575,626,Gd,1,Edwards
6,1811,2,1956,1073,1811,0,TA,1,Crawfor
4,520,1,1927,520,520,0,TA,0,BrkSide
8,1959,3,2006,1088,1088,871,Gd,1,Somerst
5,894,1,1962,894,894,0,TA,0,NAmes
8,1496,2,2007,1496,1496,0,Gd,0,Somerst
6,1728,2,2003,864,864,864,Gd,0,Somerst
8,2161,3,2007,1582,1610,551,Gd,1,NridgHt
7,1108,1,1930,637,1108,0,TA,1,IDOTRR
5,1348,1,1925,884,884,464,TA,1,BrkSide
8,1787,3,2001,1753,1787,0,Gd,1,CollgCr
6,1204,2,1998,1204,1204,0,TA,0,Mitchel
6,1603,2,1992,761,810,793,Gd,0,SawyerW
7,1829,2,2003,941,941,888,Gd,1,CollgCr
5,864,1,1972,864,864,0,TA,0,CollgCr
7,1266,2,2007,1266,1266,0,Gd,1,Blmngtn
9,1944,3,2003,1896,1944,0,Gd,3,NridgHt
7,1446,2,1996,729,729,717,TA,1,Gilbert
7,1250,2,2006,625,625,625,Gd,0,Somerst
7,1626,2,2003,764,764,862,Gd,0,NridgHt
7,1923,2,1992,750,1061,862,Gd,1,NoRidge
5,1786,2,1965,1499,1619,167,TA,2,Timber
6,1342,2,1967,1372,1342,0,TA,1,NWAmes
7,2046,3,2003,998,1006,1040,Gd,1,NridgHt
5,990,2,1995,990,990,0,TA,0,CollgCr
5,1475,1,1977,757,925,550,TA,1,MeadowV
7,1484,2,2004,1473,1484,0,Gd,0,CollgCr
5,2002,3,1949,1001,1001,1001,TA,0,Crawfor
5,1178,2,1973,1176,1178,0,TA,1,NWAmes
5,912,2,1965,912,912,0,TA,0,NAmes
7,1541,2,2005,1541,1541,0,Gd,1,NridgHt
6,1644,2,1953,1416,1644,0,TA,2,NAmes
6,1489,1,1940,778,944,545,TA,1,SWISU
8,1659,2,2000,1501,1659,0,Gd,1,StoneBr
6,1456,2,2005,728,728,728,Gd,1,CollgCr
4,1620,2,1976,1281,1620,0,TA,1,Sawyer
4,912,0,1947,0,672,240,TA,0,BrkSide
6,1322,2,1974,855,855,467,TA,1,NPkVill
7,1200,2,2003,1176,1200,0,Gd,0,SawyerW
5,2008,1,1948,896,1112,896,TA,0,Edwards
7,1550,2,2006,1092,1112,438,Gd,0,Somerst
5,1340,1,1957,0,1340,0,TA,1,Edwards
4,630,1,1970,630,630,0,TA,0,MeadowV
6,1500,2,2005,750,750,750,TA,0,CollgCr
6,1516,2,1964,1516,1516,0,TA,0,NAmes
5,1192,1,1920,596,596,596,TA,0,IDOTRR
7,1504,2,2005,1346,1504,0,Gd,1,Blmngtn
6,1844,2,1969,1844,1844,0,Gd,1,Crawfor
5,2200,0,1900,1272,1272,928,TA,0,Edwards
6,1501,2,1993,697,697,804,TA,1,Gilbert
6,1824,0,1971,912,912,912,TA,0,Mitchel
5,1750,1,1880,636,1089,661,TA,0,OldTown
5,780,1,1972,780,780,0,TA,0,CollgCr
5,1131,1,1941,676,676,455,TA,0,OldTown
5,1144,1,1959,1144,1144,0,TA,1,NAmes
6,1668,1,1950,856,1112,556,TA,0,NAmes
6,932,1,1950,932,932,0,TA,1,NAmes
5,894,2,1972,894,894,0,TA,0,CollgCr
4,858,0,1971,858,858,0,TA,0,NAmes
5,1558,1,1945,913,1048,510,TA,1,NAmes
8,1665,2,2001,810,810,855,Gd,0,NWAmes
3,1526,0,1915,1013,1013,0,Fa,0,IDOTRR
5,874,1,1968,864,874,0,TA,0,Mitchel
4,1294,0,1900,0,694,600,TA,0,OldTown
6,913,1,1966,814,913,0,TA,0,Sawyer
7,1863,3,2006,879,879,984,Gd,1,Gilbert
6,1647,2,1999,953,953,694,TA,1,Gilbert
6,1442,1,1958,1442,1442,0,TA,0,NAmes
6,912,1,1961,912,912,0,TA,0,Sawyer
9,1620,3,2007,1620,1620,0,Gd,1,Timber
7,2094,2,2003,912,912,1182,Gd,1,Somerst
7,1220,2,2006,1199,1220,0,Gd,0,CollgCr
7,1364,2,2005,1364,1364,0,Gd,1,NridgHt
7,1391,2,2004,1391,1391,0,Gd,0,Somerst
6,1661,1,1955,992,1661,0,TA,1,NAmes
6,1680,1,1915,840,840,840,TA,0,Crawfor
7,1502,2,2009,1502,1502,0,Gd,0,NridgHt
5,1362,2,1993,796,796,566,TA,0,Mitchel
7,1274,2,2005,1274,1274,0,Gd,0,CollgCr
8,1600,3,2007,1566,1600,0,Gd,1,NridgHt
9,2596,3,2006,1249,1249,1347,TA,0,NridgHt
4,1132,2,2005,1132,1132,0,TA,0,Edwards
1,904,0,1922,683,904,0,Fa,0,Edwards
7,854,2,1929,832,854,0,TA,0,BrkSide
5,833,0,1985,833,833,0,TA,0,Mitchel
7,1525,2,2000,1525,1525,0,Gd,0,CollgCr
7,1248,2,2005,1248,1248,0,Gd,0,Blmngtn
4,788,0,1941,788,788,0,TA,2,BrkSide
8,1629,3,2002,1616,1629,0,Gd,1,Timber
9,1702,3,2008,1702,1702,0,Ex,1,NridgHt
6,1141,2,2005,1141,1141,0,Gd,0,SawyerW
6,1647,1,1915,806,841,806,TA,0,SWISU
5,914,2,1996,870,914,0,Gd,0,CollgCr
4,930,1,1946,0,930,0,TA,0,Edwards
7,1102,2,2004,551,551,551,Gd,0,Somerst
7,1820,2,1965,864,902,918,TA,2,NAmes
8,1441,2,1999,776,764,677,Gd,0,Somerst
4,1092,1,1970,546,546,546,TA,0,MeadowV
5,1074,2,1975,1056,1074,0,TA,0,NWAmes
8,2466,2,2004,1580,1580,886,Gd,1,Somerst
6,1426,2,1977,690,698,728,TA,0,Edwards
6,1977,2,1964,816,1127,850,TA,1,NAmes
7,2418,3,1993,1311,1325,1093,Gd,1,NoRidge
5,1393,1,1955,816,872,521,TA,0,Edwards
7,1310,2,2005,1310,1310,0,Gd,1,CollgCr
7,2127,3,1991,1104,912,1215,Gd,1,SawyerW
6,1262,2,1976,1262,1262,0,TA,1,Veenker
8,2090,2,1995,1220,1220,870,Gd,1,CollgCr
7,1252,2,1999,600,624,628,Gd,0,Somerst
6,1232,2,1984,1232,1232,0,TA,0,Veenker
6,1117,2,1976,1029,1117,0,TA,1,Edwards
7,1710,2,1921,576,902,808,TA,0,OldTown
6,1116,2,1962,1116,1116,0,TA,0,NAmes
5,1604,2,1941,984,984,620,TA,0,Edwards
5,1111,1,1941,616,616,495,TA,0,Edwards
6,1118,2,1920,648,734,384,TA,0,OldTown
5,1700,2,1959,1398,1700,0,TA,1,NAmes
6,1593,2,1992,808,808,785,TA,1,Gilbert
5,1224,2,1979,1086,1224,0,TA,2,SawyerW
7,1339,2,1990,1309,1339,0,TA,1,Timber
8,2448,3,1994,1629,1686,762,Gd,1,NoRidge
4,1324,1,1936,672,757,567,TA,0,BrkSide
10,3627,3,1995,1930,1831,1796,Gd,1,NoRidge
7,1935,2,1976,793,1142,793,TA,1,NWAmes
6,1471,2,1999,729,742,729,TA,0,Somerst
7,2021,2,2006,868,887,1134,Gd,1,Gilbert
4,924,1,1941,672,672,252,TA,0,Edwards
5,1126,2,1977,1126,1126,0,TA,0,NWAmes
5,894,1,1965,894,894,0,TA,1,Sawyer
7,2519,2,1989,1210,1238,1281,Gd,2,Timber
5,2080,2,1969,1040,1040,1040,TA,2,NAmes
5,1228,1,1966,1228,1228,0,TA,0,Sawyer
7,1836,2,2004,1860,1836,0,Gd,1,CollgCr
9,2868,3,2005,1992,1992,876,Gd,1,StoneBr
6,1258,2,1971,1258,1258,0,Gd,0,NWAmes
4,845,2,1982,845,845,0,TA,0,Mitchel
7,1641,2,1925,728,832,809,TA,1,OldTown
6,981,2,1971,981,981,0,TA,0,NAmes
6,1176,2,1937,698,786,390,Gd,0,BrkSide
7,2084,2,2004,956,956,1128,Gd,0,SawyerW
9,2364,3,2009,2330,2364,0,Ex,2,NridgHt
7,1414,2,2004,1375,1414,0,Gd,1,Blmngtn
6,1218,1,1973,672,672,546,TA,0,BrDale
6,1511,2,1997,802,802,709,TA,1,Gilbert
7,2260,2,1996,1306,1306,954,Gd,0,ClearCr
7,1146,2,2003,868,1146,0,Gd,1,Timber
6,1392,2,1957,1392,1392,0,TA,2,NAmes
5,968,2,1923,968,968,0,Gd,0,OldTown
6,1556,2,1968,727,829,727,TA,0,NWAmes
8,1704,3,2007,1704,1704,0,Gd,1,NridgHt
8,2270,3,1999,1152,1164,1106,Gd,1,NoRidge
5,912,1,1967,912,912,0,TA,1,Sawyer
8,1414,2,2004,707,707,707,Gd,1,Gilbert
5,974,0,1991,974,974,0,TA,0,Mitchel
3,944,2,1952,0,944,0,TA,0,Edwards
8,1588,3,2006,1588,1588,0,Gd,1,Somerst
8,2794,3,1995,1462,1490,1304,Gd,1,NoRidge
6,1224,1,1926,818,818,406,TA,0,OldTown
6,848,2,2003,848,848,0,Gd,0,CollgCr
4,672,1,1941,672,672,0,TA,0,Edwards
8,1314,2,2009,1300,1314,0,Gd,0,Somerst
5,1383,1,1954,1383,1383,0,TA,1,Sawyer
6,1092,2,1964,1092,1092,0,TA,0,NAmes
5,1015,1,1925,768,1015,0,TA,0,BrkSide
5,2274,2,1960,1105,1105,1169,TA,0,NAmes
7,1640,2,2003,798,798,842,Gd,0,CollgCr
6,1416,2,1968,708,708,708,TA,1,NWAmes
6,1494,2,1997,1479,1494,0,TA,0,CollgCr
7,1456,2,2007,728,728,728,Gd,1,Gilbert
7,1530,2,2005,1530,1530,0,Gd,1,StoneBr
6,3395,0,1914,1440,1440,1440,Fa,0,SWISU
8,1566,2,2008,1566,1566,0,Gd,0,Somerst
9,1869,2,2007,1869,1869,0,Ex,1,NridgHt
6,1743,2,1968,702,1041,702,Gd,1,NWAmes
4,988,1,1973,462,526,462,TA,0,MeadowV
4,864,2,1970,864,864,0,TA,0,NAmes
6,1344,2,1958,819,1344,0,TA,1,Timber
4,1981,2,1928,1122,1328,653,TA,2,SWISU
5,1319,1,1953,608,1319,0,TA,0,NAmes
7,1621,2,1984,1208,1621,0,Gd,0,NWAmes
6,1671,2,2000,959,959,712,TA,1,Gilbert
5,768,1,1972,768,768,0,TA,0,CollgCr
6,1400,2,1978,672,672,728,TA,1,Sawyer
4,948,1,1954,948,948,0,TA,1,Edwards
6,1334,2,1977,1350,1334,0,TA,1,NWAmes
8,2262,3,2003,1482,1482,780,Gd,2,Timber
5,864,2,1955,864,864,0,TA,0,Edwards
7,1692,2,2009,846,846,846,TA,0,Timber
10,2775,2,1893,1237,1521,1254,Ex,1,OldTown
6,1212,2,2009,1212,1212,0,TA,0,Edwards
5,1053,1,1959,1053,1053,0,Gd,0,NAmes
5,912,1,1958,912,912,0,TA,0,NAmes
7,1535,2,2004,1517,1535,0,Gd,0,NridgHt
8,3228,2,1992,3200,3228,0,Gd,1,NoRidge
7,1728,2,2004,864,864,864,Gd,0,CollgCr
5,912,1,1958,912,912,0,TA,0,NAmes
7,2196,3,1990,2158,2196,0,Gd,1,SawyerW
6,1960,2,2002,860,860,1100,Gd,2,Gilbert
7,1779,2,1998,866,866,913,TA,0,CollgCr
5,1190,2,1962,1106,1190,0,TA,0,NAmes
7,1569,3,2007,1386,1569,0,Gd,1,Blmngtn
6,1244,1,1957,1244,1244,0,TA,2,NAmes
6,1458,1,1948,912,912,546,TA,1,NAmes
5,1320,2,1966,1164,1320,0,TA,2,Sawyer
5,1188,1,1962,1188,1188,0,TA,0,Mitchel
8,2358,0,1872,684,938,1215,TA,0,OldTown
7,1258,3,2006,1258,1258,0,Gd,1,Blmngtn
7,1173,2,1974,1053,1173,0,TA,2,NWAmes
7,1768,2,2005,866,866,902,Gd,0,Somerst
5,948,1,1968,948,948,0,TA,0,Sawyer
6,1469,1,1906,756,756,713,TA,0,IDOTRR
6,987,1,1970,483,483,504,TA,0,BrDale
5,1271,1,1948,720,720,551,TA,1,Sawyer
7,1389,1,1946,651,707,682,TA,2,OldTown
6,1118,1,1977,1096,1118,0,TA,1,Mitchel
7,2156,2,1968,1568,2156,0,TA,1,NWAmes
6,816,1,1930,816,816,0,Gd,0,IDOTRR
8,1652,2,2000,1494,1652,0,Gd,0,StoneBr
5,1057,1,1953,1057,1057,0,TA,0,NAmes
7,1474,2,1995,384,804,670,TA,1,Gilbert
8,2217,2,1970,2217,2217,0,Gd,1,NAmes
4,1208,2,1925,780,848,0,TA,0,IDOTRR
7,1422,2,2004,1422,1422,0,Gd,0,CollgCr
7,1947,2,2004,991,991,956,Gd,1,Somerst
7,2036,2,1965,2136,2036,0,TA,2,Timber
6,1357,1,1959,1019,1357,0,TA,1,Edwards
7,1630,2,2000,1630,1630,0,Gd,1,CollgCr
6,1664,2,2000,953,953,711,TA,1,Gilbert
5,1803,2,1957,1134,1803,0,TA,1,Sawyer
5,954,1,1938,920,954,0,TA,1,Crawfor
8,3194,2,1934,965,1940,1254,TA,2,Crawfor
4,951,1,1936,951,951,0,TA,0,IDOTRR
7,1432,2,2004,716,716,716,Gd,1,Gilbert
5,2240,2,1979,0,1120,1120,TA,0,SawyerW
7,1482,2,1992,384,812,670,TA,1,Gilbert
5,1256,1,1965,1256,1256,0,Gd,0,Edwards
5,672,1,1940,672,672,0,TA,0,Sawyer
7,1500,3,2006,1356,1500,0,Gd,1,Blmngtn
5,1248,1,1930,912,912,336,TA,0,OldTown
7,1479,2,1972,725,725,754,TA,0,NAmes
8,1976,3,2006,1976,1976,0,Gd,1,NridgHt
5,1784,1,1914,747,892,892,TA,0,Crawfor
7,1111,1,1926,572,572,539,TA,1,OldTown
10,2084,3,2007,2078,2084,0,Ex,1,NridgHt
6,1616,1,1926,1149,1149,467,TA,0,OldTown
4,1220,2,1951,836,1220,0,TA,0,Edwards
5,1964,0,1911,940,1024,940,TA,0,SWISU
5,999,1,1962,925,999,0,TA,0,NAmes
6,1470,2,1993,680,680,790,Ex,1,Gilbert
5,1582,2,1964,1624,1582,0,TA,0,ClearCr
7,1494,2,1998,1482,1494,0,Gd,1,SawyerW
7,1372,2,2007,1372,1372,0,Gd,0,Somerst
8,2046,3,2008,2046,2046,0,Gd,1,StoneBr
5,1144,1,1956,1144,1144,0,TA,0,Edwards
5,1124,0,1954,0,1124,0,TA,1,Edwards
6,1412,2,2006,616,616,796,TA,1,Gilbert
6,1392,2,1968,1392,1392,0,TA,2,NAmes
6,1902,2,1978,0,1318,584,TA,0,Sawyer
8,2365,3,1999,1252,1268,1097,Gd,1,NoRidge
6,1682,2,1998,804,804,878,TA,0,CollgCr
8,1324,2,2006,1324,1324,0,Gd,1,NridgHt
6,1224,2,2009,612,612,612,Gd,0,Somerst
4,960,1,1956,672,960,0,TA,0,Edwards
4,1788,1,1957,1104,1104,684,TA,2,ClearCr
8,1852,3,1999,1004,1004,848,Gd,2,CollgCr
8,1801,3,2005,893,901,900,Gd,1,Gilbert
6,1657,2,1970,1657,1657,0,TA,1,NAmes
8,2727,2,1932,853,1549,1178,Gd,2,Crawfor
5,1365,2,1971,765,765,600,TA,0,BrDale
8,2031,2,2002,1128,1128,903,Gd,1,CollgCr
5,910,2,1953,105,910,0,Gd,0,NAmes
7,1494,3,2006,1494,1494,0,Gd,1,CollgCr
7,2340,1,1941,1152,1188,1152,Ex,2,Crawfor
6,2267,2,2002,1010,1010,1257,Gd,1,Gilbert
5,924,1,1975,924,924,0,TA,0,CollgCr
7,1724,2,1998,880,880,844,TA,0,CollgCr
